PING www.cs.ox.ac.uk (129.67.151.1) 56(84) bytes of data.
[1766469092.048675] From 223.118.18.86 icmp_seq=29190 Time to live exceeded
[1766469093.264380] From 223.118.18.86 icmp_seq=29196 Time to live exceeded
[1766469094.280260] From 223.118.18.86 icmp_seq=29201 Time to live exceeded
[1766469094.889180] From 223.118.18.86 icmp_seq=29204 Time to live exceeded
[1766469322.516256] From 223.120.11.49 icmp_seq=30320 Time to live exceeded
[1766469324.757072] From 223.120.11.49 icmp_seq=30331 Time to live exceeded
[1766469325.772175] From 223.120.11.49 icmp_seq=30336 Time to live exceeded
[1766469329.848088] From 223.120.11.49 icmp_seq=30356 Time to live exceeded
[1766469615.903792] From 223.120.11.57 icmp_seq=31758 Time to live exceeded
[1766469644.016556] From 223.120.6.217 icmp_seq=31896 Time to live exceeded
[1766469644.221039] From 223.120.6.217 icmp_seq=31897 Time to live exceeded
[1766469644.422028] From 223.120.6.217 icmp_seq=31898 Time to live exceeded
[1766469644.621506] From 223.120.6.217 icmp_seq=31899 Time to live exceeded
[1766469644.822718] From 223.120.6.217 icmp_seq=31900 Time to live exceeded
[1766469645.023881] From 223.120.6.217 icmp_seq=31901 Time to live exceeded
[1766469645.223370] From 223.120.6.217 icmp_seq=31902 Time to live exceeded
[1766469645.424294] From 223.120.6.217 icmp_seq=31903 Time to live exceeded
[1766469645.625806] From 223.120.6.217 icmp_seq=31904 Time to live exceeded
[1766469645.825431] From 223.120.6.217 icmp_seq=31905 Time to live exceeded
[1766469646.026972] From 223.120.6.217 icmp_seq=31906 Time to live exceeded
[1766469646.227363] From 223.120.6.217 icmp_seq=31907 Time to live exceeded
[1766469646.392654] From 223.120.6.217 icmp_seq=31908 Time to live exceeded
[1766469646.594108] From 223.120.6.217 icmp_seq=31909 Time to live exceeded
[1766469646.794265] From 223.120.6.217 icmp_seq=31910 Time to live exceeded
[1766469646.993642] From 223.120.6.217 icmp_seq=31911 Time to live exceeded
[1766469647.194527] From 223.120.6.217 icmp_seq=31912 Time to live exceeded
[1766469647.396167] From 223.120.6.217 icmp_seq=31913 Time to live exceeded
[1766469647.596059] From 223.120.6.217 icmp_seq=31914 Time to live exceeded
[1766469647.796695] From 223.120.6.217 icmp_seq=31915 Time to live exceeded
[1766469647.998168] From 223.120.6.217 icmp_seq=31916 Time to live exceeded
[1766469648.197387] From 223.120.6.217 icmp_seq=31917 Time to live exceeded
[1766469648.397713] From 223.120.6.217 icmp_seq=31918 Time to live exceeded
[1766469648.599297] From 223.120.6.217 icmp_seq=31919 Time to live exceeded
[1766469648.799182] From 223.120.6.217 icmp_seq=31920 Time to live exceeded
[1766469648.999950] From 223.120.6.217 icmp_seq=31921 Time to live exceeded
[1766469649.201078] From 223.120.6.217 icmp_seq=31922 Time to live exceeded
[1766469649.401203] From 223.120.6.217 icmp_seq=31923 Time to live exceeded
[1766469649.602112] From 223.120.6.217 icmp_seq=31924 Time to live exceeded
[1766469649.803415] From 223.120.6.217 icmp_seq=31925 Time to live exceeded
[1766469650.002739] From 223.120.6.217 icmp_seq=31926 Time to live exceeded
[1766469650.203026] From 223.120.6.217 icmp_seq=31927 Time to live exceeded
[1766469650.404160] From 223.120.6.217 icmp_seq=31928 Time to live exceeded
[1766469650.604483] From 223.120.6.217 icmp_seq=31929 Time to live exceeded
[1766469650.808643] From 223.120.6.217 icmp_seq=31930 Time to live exceeded
[1766469982.403437] From 223.120.11.49 icmp_seq=33555 Time to live exceeded
[1766469983.419438] From 223.120.11.49 icmp_seq=33560 Time to live exceeded
[1766469983.624380] From 223.120.11.49 icmp_seq=33561 Time to live exceeded
[1766469983.824409] From 223.120.11.49 icmp_seq=33562 Time to live exceeded
[1766469984.835695] From 223.120.11.49 icmp_seq=33567 Time to live exceeded
[1766469987.892507] From 223.120.11.49 icmp_seq=33582 Time to live exceeded
